gene_name	introns	transcripts	proteins
Mgn94064	1	1	0
Mgn94067	2	2	0
Mgn94066	1	1	0
Mgn94069	1	1	0
Mgn94068	4	2	0
bru	9	1	1
CR32010	4	1	1
brp	35	794	66
CG14945	3	6	1
CG14416	1	1	1
CG14947	1	2	1
CG14946	6	5	1
brk	0	2	1
CG14411	3	3	1
CG14410	1	2	2
Dfd	4	2	2
CG17068	0	1	1
CG14949	2	2	1
CG14419	0	1	1
CG33510	2	1	1
CG10254	11	5	3
CG10257	3	1	1
CG32391	6	3	3
CG10253	8	7	2
CG10252	3	1	1
Su(var)205	4	5	1
CG34448	2	1	1
Rap2l	3	1	1
Gmap	9	7	5
l(1)dd4	4	1	1
CG18063	5	2	2
CG2291	1	2	1
CG15093	3	3	2
CG18067	1	1	1
CG15096	4	3	2
CG15097	5	5	4
CG15098	4	3	3
CG15099	13	7	2
Stam	4	4	2
CG6506	2	1	1
UbcD2	3	10	1
Mgn926	0	2	1
nkd	6	6	3
mir-2498	0	1	0
CR33221	0	1	1
CR33222	1	1	1
CG31122	7	13	3
CG34432	0	1	1
Cyp12c1	1	1	1
CG43243	1	1	1
CG5245	2	2	2
CG5246	0	1	1
CG34336	2	1	1
Cnx14D	0	1	1
VhaAC45	4	4	1
CG1409	0	2	2
CG31121	8	2	2
Vha68-1	7	7	1
CG8939	1	4	4
Vha68-3	1	1	1
Vha68-2	6	3	1
CG43246	1	3	2
l(2)06496	2	4	1
CG1407	11	29	16
CG8931	3	1	1
CG43247	1	2	1
CG41087	1	2	2
tna	14	16	6
His2B:CG33908	0	1	1
tnc	10	12	12
erm	2	5	4
CG7115	11	8	3
wmd	4	4	1
CG9263	1	1	1
CG7110	7	5	4
Snx3	3	4	1
CG34155	1	1	1
CR43656	5	6	0
Ggamma30A	5	17	2
spag4	4	2	2
CR43655	1	1	0
Aats-leu	5	3	2
CG9222	4	2	2
CR43650	1	9	1
CR43651	0	1	1
CG32026	1	2	2
CG31301	5	3	3
SIFR	6	3	2
unc-119	6	6	2
CG34150	4	3	2
CG32024	2	2	2
lectin-24Db	0	2	1
Rpb8	2	2	1
CG32023	1	1	1
CG11125	6	8	4
Nplp4	1	1	1
CG11120	3	2	2
CG11122	2	5	1
CG11123	1	1	1
CG17807	0	1	1
CG17806	4	2	1
CG13562	4	3	3
CG32473	15	14	5
CG17803	4	3	3
CG17802	5	2	1
laf	5	8	6
Lig4	3	1	1
Klp67A	4	1	1
lab	3	2	2
Mgn095242	0	1	0
CG8248	1	1	1
CG8249	3	3	1
lat	8	2	1
CG8247	6	1	1
CG8245	4	4	2
lap	23	1501	127
CG8243	1	3	1
CG4598	3	1	1
CG4360	3	4	2
CG4592	2	1	1
Ptx1	7	7	6
CG4596	1	2	1
CG4597	0	1	1
CG4594	3	2	1
pre-mod(mdg4)-V	0	1	1
WDR79	3	3	3
CG7593	1	2	1
Ir56c	0	1	1
Ir56b	1	1	1
Mtor	6	3	2
Ir56d	0	1	1
CG4365	6	8	3
Or74a	3	1	1
Cyp4d1	3	2	2
tRNA:CR32460	0	1	0
Jheh2	4	4	4
Jheh3	2	1	1
Jheh1	3	1	1
fal	10	9	4
Nup107	1	1	1
beat-VII	9	3	2
zen	1	1	1
Ir60a	1	1	1
CG4627	1	1	1
CG30161	0	1	1
CG30160	2	1	1
CG4622	6	3	2
CG4623	5	8	8
CG8791	5	8	6
CG8060	8	2	1
CG8066	1	3	1
CG4629	10	7	3
CG8064	1	1	1
CG8065	1	1	1
verm	13	11	6
l(3)72Do	2	1	1
l(3)72Dn	2	1	1
dec-1	11	36	30
Mpk2	4	10	2
CG44072	0	1	0
Dref	3	2	1
CG31418	1	2	2
CG31419	0	1	1
CG34428	2	1	1
CG34429	2	1	1
CG34398	21	94	12
CG34396	5	5	4
CG34425	0	2	2
CG34394	22	298	49
CG34427	3	1	1
CG43220	1	1	1
Mgn99841	0	1	0
Mgn99842	0	1	1
CG34423	2	4	2
Efr	3	7	1
tRNA:K5:84ABd	0	1	0
l(3)72Dh	1	1	1
DppIII	6	8	2
Eps-15	14	6	6
Sop2	2	2	1
CG17378	8	19	4
CG10413	8	13	2
Glut1	34	404	44
CG17370	11	20	2
CG17377	6	4	3
CG17376	4	2	2
CG17375	4	2	2
CG17374	10	3	3
Cog7	3	2	1
CG42594	9	3	2
chr3L_4682722_4683082.0	0	1	0
CG43049	3	2	2
gfA	18	258	9
Csk	18	33	5
Mgn1643	2	4	3
I-3	0	1	1
I-2	6	7	3
Uba2	3	2	1
Uba3	0	1	1
Uba1	3	6	2
Bub3	2	4	1
Csp	8	22	6
wge	17	57	18
Mgn4512	5	6	6
chr3R_9144702_9145033.0	0	1	1
Mgn4518	0	5	0
CG17816	25	938	58
nAcRalpha-80B	15	8	5
CG16953	6	1	1
dsx-c73A	4	2	1
rtet	5	1	1
Mgn00062	2	1	0
CG5872	5	3	3
CG5873	9	1	1
Mgn00178	1	1	0
Pkg21D	4	1	1
CG14778	10	3	3
Ubqn	4	10	3
CG30285	1	1	1
CoVa	1	2	1
CoVb	2	2	1
CG14777	7	9	2
Pdp	4	2	2
Snr1	1	3	2
CG32148	1	2	1
CG10068	1	1	1
Pdk	7	7	5
I-t	0	2	1
Pdi	2	3	2
Pdh	3	4	4
CG10062	11	5	3
CG10063	1	1	1
ntc	3	4	1
CG9784	3	17	2
Mgn095226	0	1	0
CG10064	4	2	1
CG30281	4	3	3
CR43381	1	1	0
CG4661	0	1	1
l(2)08717	3	1	1
TepIII	14	1	1
CG9205	2	1	1
Mgn095159	0	3	0
Mgn095158	0	1	0
snoRNA:MeU6-A47	0	1	0
Lamp1	3	2	1
Mgn095153	0	1	0
Mgn095152	0	1	0
Mgn095151	0	1	0
CG4741	4	2	2
Mgn095157	0	1	1
AlstR	10	1	1
Mgn095155	0	1	0
Myt1	3	1	1
rempA	7	10	3
CG32727	1	1	1
CG32726	1	1	1
CG42313	20	5	4
CG32720	0	1	1
CG14607	2	1	1
CG4830	4	1	1
CG4835	1	1	1
Cpsf73	5	2	2
CG42319	10	13	5
CG4836	16	24	16
CG2662	2	2	1
CG2663	4	2	2
Mgn84048	1	2	1
Mgn84049	1	1	0
CG12010	3	3	2
Mgn84042	1	1	0
Mgn84043	1	3	0
Mgn84040	3	3	1
Mgn84041	3	5	0
Mgn84046	1	1	1
Mgn84047	1	1	0
Mgn84044	2	2	2
Mgn84045	1	1	0
Nrk	3	1	1
Mgn98037	0	1	0
Mgn98034	0	1	0
Mgn98035	1	2	0
Mgn98032	0	1	0
Mgn98033	0	1	0
Mgn98030	0	1	0
Mgn98031	0	1	1
Nrg	12	19	3
Mgn98038	3	3	0
CG12014	3	1	1
CG13443	1	1	1
CG13442	7	4	4
CG13445	1	1	1
CG12017	9	4	4
CG13449	6	7	4
CG12016	1	2	1
Nrt	4	5	2
CG10559	4	2	2
CG4666	1	2	1
mus210	8	27	6
eIF2B-gamma	3	1	1
CG42299	2	2	2
CG6195	3	1	1
CG15429	3	2	2
Mgn3760	2	2	1
CG15139	0	1	1
Mgn3762	1	2	0
Mgn3764	0	2	0
Npl4	8	5	3
Mgn3766	0	1	0
Mgn3768	0	2	1
CG15423	0	1	1
CG15422	0	1	1
CG15425	1	1	1
CG15136	3	3	1
CR43654	2	2	1
Set	3	2	1
GABA-B-R2	14	4	4
tey	13	9	9
r-cup	2	1	1
CG11333	2	1	1
CG11334	6	2	1
CG17454	2	3	1
Mgn00068	2	1	1
snoRNA:Psi18S-525f	0	1	0
snoRNA:Psi18S-525g	0	1	0
snoRNA:Psi18S-525d	0	1	0
snoRNA:Psi18S-525e	0	1	0
snoRNA:Psi18S-525b	0	1	0
snoRNA:Psi18S-525c	0	1	0
snoRNA:Psi18S-525a	0	1	0
cln3	7	4	2
snoRNA:Psi18S-525j	0	1	0
snoRNA:Psi18S-525k	0	1	0
snoRNA:Psi18S-525h	0	1	0
snoRNA:Psi18S-525i	0	1	0
CG30421	7	3	2
CG7564	4	24	2
CG30423	4	2	1
CG30424	6	7	5
CG7560	2	1	1
CG30427	16	8	3
CG30428	5	8	4
CG30429	3	7	4
Ucp4A	8	8	2
Ucp4C	0	1	1
Ucp4B	2	3	3
beat-Ia	8	2	2
beat-Ic	7	3	1
beat-Ib	7	2	1
CG32176	6	3	3
l(2)gd1	6	2	2
CG33453	4	2	2
CG33458	3	1	1
CG33459	3	2	2
yps	4	5	3
CG9203	3	2	2
CG6745	4	1	1
CG6744	3	3	1
CG6746	0	1	1
CG6749	2	1	1
RFeSP	3	5	3
Muc18B	0	1	1
CG15550	0	1	1
Mgn95019	0	1	0
Mgn95018	0	1	1
Mgn95017	0	1	0
Mgn95016	0	1	0
Mgn95015	0	1	0
Mgn95014	1	1	0
Mgn95013	0	1	1
Mgn95012	0	1	1
Mgn95011	0	1	1
Mgn95010	0	1	0
CG18563	3	2	2
CG30398	0	3	2
CR41539	0	3	0
CG2889	5	5	1
CG30392	3	3	1
CG30393	1	2	2
CG30391	0	2	2
CG4455	1	3	1
CG30395	30	12	6
PGRP-LB	7	7	4
Mgn1468	0	6	1
chr2L_18302777_18303179.0	0	1	0
Side	2	3	2
sub	3	4	2
CG12496	0	2	2
CR43962	1	1	0
Dgkepsilon	4	4	1
CG6867	15	1	1
CG11811	0	2	2
CG16815	0	1	1
Spn3	3	1	1
QC	5	1	1
CG8036	4	3	2
CG16813	0	1	1
CG16812	4	3	3
CG8031	5	3	2
CG13869	3	1	1
CG13868	5	1	1
RpII140	3	1	1
CG17140	4	2	1
CG17141	1	1	1
CG31785	2	1	1
CG17145	1	2	1
CG17147	1	1	1
CG18869	3	2	1
PGRP-LD	7	11	5
Aac11	9	13	2
tRNA:S774:12Ef	0	1	0
CG10841	9	2	2
CR33963	0	1	0
d4	5	3	3
His-Psi:CR33802	0	1	1
Mgn1606	2	8	1
CG5050	3	1	1
Mgn00490	1	1	0
CG9780	1	3	1
Mgn00492	1	1	0
Mgn00495	0	1	0
bip1	4	2	2
CG5056	1	2	1
CG5062	1	1	1
Mgn00499	2	1	0
CG5059	8	24	6
CG6791	4	3	3
CG12516	2	3	2
didum	20	21	8
CG1218	1	4	1
Hsp67Ba	0	15	3
Mdr50	8	1	1
hrg	11	15	2
Hsp67Bb	3	4	2
chr3L_6908429_6908824.0	0	1	0
CG1213	7	6	2
dl	13	22	4
CG16791	16	7	4
dj	2	4	3
CG10889	0	1	1
mir-997	0	1	0
CG31697	0	1	1
CG10880	3	4	3
CG10881	0	1	1
da	1	3	1
tRNA:CR32324	0	1	0
dy	3	1	1
CG7900	4	1	1
snoRNA:Edc3-a	0	1	0
tRNA:CR32328	0	1	0
tRNA:CR32329	0	1	0
ds	11	2	1
dp	98	1018	106
CG7907	5	3	1
Mgn00146	1	1	1
Mgn00145	1	1	0
Mgn00144	2	3	0
Mgn00143	2	2	0
NaCP60E	37	125	17
emc	2	10	2
emb	6	2	1
CG11373	2	2	1
CG4678	13	11	6
scyl	1	2	1
Mgn00148	6	5	0
CG32939	4	6	2
emp	13	9	4
ems	1	1	1
CG6364	7	4	2
CG4674	3	3	1
mir-9a	0	1	0
icln	1	1	1
mir-9c	0	1	0
snRNA:U5:38ABa	0	1	0
snRNA:U5:38ABb	0	1	0
Gpdh	11	25	6
CG5463	7	2	2
PGRP-SC1b	0	2	1
mir-998	0	1	0
Mgn00005	3	1	1
CanB	3	4	1
Mgn00008	4	3	1
CG6800	4	2	2
Osi18	1	1	1
CG8475	13	12	3
His2B:CG33886	0	1	1
His2B:CG33884	0	1	1
His2B:CG33882	0	1	1
His2B:CG33880	0	1	1
CG43695	0	1	1
CG43694	0	2	1
CG13567	3	3	2
CG43691	1	1	1
CG8478	5	8	4
Rme-8	22	2	2
IP01976	0	1	1
Mgn3974	1	2	0
Mgn3976	0	2	0
Mgn3972	0	1	1
CR31647	2	1	1
Mgn3978	0	2	0
Osi17	11	8	2
hebe	4	6	1
CG1161	9	7	6
wg	4	3	1
tral	14	195	36
snoRNA:Psi28S-2949	0	1	0
wb	19	8	4
CG8860	0	1	1
mtsh	6	2	2
CG13272	3	2	1
Osi13	1	3	2
CG33259	1	3	1
CG13278	7	2	2
CG11686	4	3	1
Mgn99981	0	1	0
Mgn99980	0	1	0
cos	4	4	4
Mgn99982	0	1	0
snoRNA:Me28S-C3351	0	1	0
Mgn99984	1	1	0
Mgn99987	0	1	0
brat	12	44	4
His2A:CG33844	0	1	1
Mgn99988	0	1	0
His2A:CG33847	0	1	1
His2A:CG33841	0	1	1
Gbeta5	0	2	1
Cdk4	16	17	4
Cdk5	3	1	1
snmRNA:128	0	1	0
Aut1	3	1	1
Cdk8	1	1	1
Cdk9	3	1	1
p-cup	4	1	1
mir-4957	0	1	0
Tango2	13	108	4
Gr9a	2	1	1
tRNA:CR30249	0	1	0
CG1636	4	3	2
Bteb2	0	1	1
Hdac3	2	1	1
tRNA:CR30241	0	1	0
tRNA:CR30240	0	1	0
MstProx	1	2	1
CR43825	2	1	0
Cdlc2	3	4	1
CR43827	3	3	0
CR43826	1	1	0
CR43821	1	4	0
CR43820	0	1	0
CR43823	1	1	0
CR43822	0	1	0
KP78a	1	1	1
CG31606	1	2	2
ETH	1	1	1
KP78b	1	3	2
CR43828	0	1	0
CG31601	8	4	3
CG31600	5	4	4
Tpc1	2	4	1
5SrRNA:CR33354	0	1	0
Tpc2	1	1	1
CG3108	5	3	3
CG4338	0	3	1
5SrRNA:CR33355	0	1	0
CG3104	7	11	1
CG33784	2	1	1
CG4334	4	2	2
CG3107	4	3	1
CG4332	1	1	1
Orct2	0	2	1
RabX2	1	2	2
5SrRNA:CR33357	0	1	0
Mgn97064	0	1	0
CG33786	1	1	1
5SrRNA:CR33422	0	1	0
CG32551	0	1	1
CG32557	5	3	1
CG32554	0	2	1
CR32835	2	1	0
FucTD	2	2	2
Trn-SR	5	2	2
FucTB	6	5	4
FucTA	5	2	1
CG8945	5	1	1
TfIIEbeta	4	2	2
5SrRNA:CR33353	0	1	0
Cbs	4	3	1
Dic61B	7	3	3
primo-2	4	2	1
primo-1	4	3	2
bnb	9	95	3
Cul-2	9	10	3
Cul-3	18	79	2
CR43706	1	1	0
Cul-4	12	8	2
Cul-5	6	7	2
EfTuM	3	5	2
CG33252	2	1	1
gnu	1	1	1
CG43783	15	15	5
5SrRNA:CR33358	0	1	0
gny	3	4	2
Cpr92F	1	1	1
CR43701	0	1	0
CG12907	1	4	1
Mgn4234	0	1	0
Mgn4235	3	5	0
Mgn3512	1	4	1
CG12902	3	3	1
CG18266	0	1	1
Mgn4231	0	1	1
CG18268	2	2	2
CG18269	1	2	2
eIF-2beta	4	3	3
5SrRNA:CR33429	0	1	0
Gld	3	1	1
CG12909	0	1	1
wntD	1	2	2
Mgn94007	0	1	0
Mgn94006	0	4	1
Mgn94005	0	1	0
Mgn94004	0	1	1
CG12309	2	3	3
Mgn94002	0	1	1
conv	11	11	1
Mgn94000	0	1	0
CG12304	6	12	2
CG12307	1	2	2
CG12301	1	2	1
CG7829	1	2	2
Mgn94008	0	1	0
CG14431	3	1	1
cona	3	1	1
CG14435	7	6	2
CG14434	1	2	2
Or22a	3	1	1
CG14439	4	3	1
CG14438	8	4	1
CG10435	2	3	1
Gas41	2	2	1
CG32783	3	3	2
chr2R_13688237_13689549.0	0	1	0
Lgr3	10	4	3
CG18088	2	2	2
CG2278	2	2	2
AnnX	5	3	3
Ugt37b1	1	1	1
CG18081	3	6	1
CG7352	3	3	2
CG5267	0	2	2
CG17324	5	1	1
CG5265	0	1	1
CG9029	2	2	2
akirin	5	12	1
CG5261	11	14	5
CG10445	6	12	7
CG9797	4	2	2
CG6083	3	4	1
Vkor	2	2	1
Ggamma1	10	20	1
CG6084	8	4	4
MESK4	4	3	3
CG17327	2	4	3
Cyp12a5	3	1	1
Cyp12a4	3	1	1
CG10440	6	5	3
fusl	9	8	1
CG14870	2	3	3
CG42705	1	2	1
CG7686	1	2	2
CG7685	5	7	3
CG43117	0	1	1
mio	6	2	1
dsd	7	4	1
CG42379	2	3	2
ths	7	21	3
thr	4	4	2
CG7179	0	1	1
snmRNA:430:CR33736	0	1	0
snmRNA:430:CR33735	0	1	0
snmRNA:430:CR33734	0	1	0
snmRNA:430:CR33733	0	1	0
snmRNA:430:CR33732	0	1	0
snmRNA:430:CR33731	0	1	0
snmRNA:430:CR33730	0	1	0
CG7173	2	3	2
CG7172	0	1	1
CG7175	3	1	1
snmRNA:430:CR33739	0	1	0
snmRNA:430:CR33738	0	1	0
CG9249	3	2	2
CR43639	1	2	0
CG5195	4	1	1
CG5194	4	3	3
CG5196	4	2	2
CG5199	3	2	1
CR43631	0	2	0
CR43632	0	2	0
CR43633	1	2	0
CR43634	0	1	0
CR43635	1	1	0
CR43636	2	1	0
CG9246	1	1	1
CG1681	3	1	1
Lk6	8	72	4
Dsp1	12	78	4
CG1688	8	1	1
CG1578	8	6	1
CG5934	1	1	1
CG43115	0	1	1
CR40503	0	1	0
Erk7	9	2	2
NUCB1	2	2	1
chr3L_13211282_13211960.0	0	1	0
Gal	7	5	5
Ranbp9	6	2	2
CG11109	1	4	2
CG11106	0	1	1
CG11107	9	5	3
CG11103	0	2	2
Trh	6	1	1
Shal	11	13	3
rno	9	10	2
Trl	11	20	4
Trn	14	15	2
capt	9	6	4
capu	18	23	19
Su(var)2-10	17	378	40
Gr22a	1	1	1
Gr22b	1	1	1
Gr22c	1	1	1
Gr22d	1	1	1
Gr22e	1	1	1
Gr22f	1	1	1
CG8260	4	5	5
mir-4960	0	1	0
capa	2	1	1
Adgf-A	4	6	1
MIP03818	0	1	1
upd2	4	3	3
Sxl	32	1949	33
chp	17	6	4
CG6555	0	2	1
CG6225	10	4	1
CG6550	1	1	1
CG6220	1	1	1
CG6553	1	1	1
Oatp58Dc	10	8	1
Oatp58Db	4	3	3
Oatp58Da	5	1	1
Ir54a	2	3	3
CG1024	3	4	2
CG8046	8	2	2
CG1021	14	5	3
CG43255	0	1	1
CG8042	6	2	2
Mgn095101	0	1	0
Nup160	15	5	5
borr	3	4	2
Cyp313b1	6	1	1
Tob	8	28	5
pgant3	5	5	1
CG30187	8	7	7
Cpr49Ad	2	1	1
CG30185	2	1	1
CG30184	0	1	1
CG30183	7	2	2
CG30181	5	1	1
pgant5	14	28	3
pgant6	5	5	2
CG17683	11	65	11
CG17681	2	1	1
CG17680	0	1	1
CG17687	9	1	1
CG17684	13	1	1
pgant8	2	3	2
CG1657	8	3	1
mir-210	0	1	0
Tif-IA	13	30	13
Cpsf100	1	3	3
CG40002	3	4	4
CG40005	5	5	5
CG43174	3	3	1
CG40006	10	4	2
mtSSB	3	1	1
plu	2	2	2
Mgn79	1	4	0
CG3160	9	1	1
Alg-2	9	9	7
plx	20	66	6
CG33986	1	1	1
ple	8	7	3
CG33985	1	1	1
CG10431	2	3	1
CG17350	3	1	1
CG10433	5	9	2
CG33981	9	3	3
alpha4GT2	1	1	1
Rdl	16	3	3
alpha4GT1	2	3	2
CG17359	1	2	2
Rdh	1	2	1
CG33988	7	3	1
msopa	1	4	2
Hsp68	1	3	2
CG14868	5	2	2
CG4763	3	1	1
Takl1	3	1	1
CG14869	20	8	4
SP555	2	4	2
chr3L_7125264_7125539.0	0	1	0
CG43176	0	2	1
AGO1	10	7	2
AGO3	9	6	2
AGO2	14	52	28
Lcp65Ab1	0	1	1
CG7183	1	5	1
CR31451	0	6	0
CG43206	1	1	1
RASSF8	4	4	1
sff	18	13	3
snoRNA:Psi18S-996	0	1	0
snoRNA:Me28S-G2743	0	1	0
Gld2	3	2	2
CG3546	0	2	2
wal	3	2	1
Sap47	24	5011	49
wah	17	83	10
Pfk	18	105	23
wac	6	9	2
CG13605	2	2	1
Mgn4533	1	4	1
Trax	1	2	2
CG34406	3	3	3
CG43207	2	1	1
CG43204	1	1	1
CG43202	1	1	1
CG43203	1	2	1
CG43200	2	1	1
CG43201	1	3	2
CG5850	11	16	11
CG5853	10	2	1
CG5854	6	6	3
CG43208	1	1	1
CG43209	2	1	1
CG32121	5	3	2
NKAIN	9	6	4
trus	2	3	2
Prat2	3	2	2
noncoding_4219	1	1	0
CG32591	0	1	1
Klc	10	9	5
CR40728	0	1	0
CG43252	1	1	1
CG11741	0	1	1
mei-38	2	3	2
mts	3	7	1
PICK1	7	7	6
mtt	20	6	5
CG3626	5	1	1
CG43062	0	1	1
CG43063	1	2	2
mth	16	26	2
CG43061	2	2	1
CG43066	11	4	2
CG13609	0	2	1
CG43064	0	1	1
mtm	1	1	1
Oda	7	37	4
CG43068	0	1	1
CG43069	0	1	1
mtg	11	6	4
CG42331	9	5	4
CG32392	4	2	2
CG42335	7	3	3
CG4447	0	2	1
CG42337	5	11	2
CG42336	6	22	5
CG42339	6	2	2
Twdlalpha	3	2	1
MP1	5	9	5
CG12134	3	6	3
Rassf	8	11	4
Mgn4392	0	1	1
Mgn98058	0	1	0
Mgn98059	0	1	0
Mgn4397	14	44	2
Mgn4396	0	1	0
Mgn98054	1	2	0
Mgn98055	1	2	1
Mgn98056	0	2	0
CG4769	6	4	1
Takr86C	7	2	2
Mgn98051	0	1	1
Mgn98052	0	1	1
Mgn98053	0	2	1
Tie	5	2	1
Osi9	4	4	2
Osi8	1	1	1
Osi5	3	4	3
noncoding_14931	1	1	0
Osi7	0	2	1
Osi6	1	3	2
Osi1	2	1	1
Osi3	3	2	1
Osi2	6	5	2
CG13428	5	2	2
snoRNA:Me28S-U1688	0	1	0
CG13423	1	1	1
CG13422	0	2	1
mir-2493	0	1	0
Mgn98010	1	1	0
CG13427	0	1	1
CG13426	2	2	1
CG15443	1	3	1
CG18746	4	1	1
CG15117	14	7	7
CG15440	1	2	1
CG15111	8	9	2
CG15446	5	6	3
CG15445	8	12	4
CG15449	2	1	1
betaTub56D	9	49	43
CG15118	11	9	5
CG18749	7	40	2
CG18748	6	3	3
CheA56a	1	1	1
CG33293	1	1	1
CG33290	0	2	1
CG11350	1	1	1
CG33296	8	1	1
CG11356	1	1	1
Mgn4013	0	1	0
Zn72D	9	7	5
CG33298	20	7	2
CG33299	1	3	2
Mgn3707	0	3	0
ETHR	6	6	2
CG7039	2	1	1
CG31835	0	1	1
CG11286	2	2	2
His3.3A	3	8	2
ade2	4	3	1
Spindly	5	4	3
His3.3B	4	3	1
Sgt	2	3	1
Mgn4017	1	1	0
CG3841	3	2	2
CG4810	2	2	2
Mgn4014	2	1	0
CG3663	3	2	2
CG3662	4	4	2
CG3669	4	1	1
chr2R_5545323_5545698.0	0	1	0
Cpr62Ba	3	4	3
Cpr62Bb	4	2	1
CG30409	2	3	2
CG7544	6	4	1
Ste:CG33237	2	1	1
CG7546	16	24	24
CG5010	1	1	1
CG7548	0	1	1
CG30403	1	2	2
CG30401	2	2	2
MRE23	0	2	1
dpr4	6	3	2
CG33476	1	1	1
CG33477	0	1	1
CG33474	0	2	1
CG33475	0	1	1
CG33470	3	2	2
CG4270	2	2	2
MtnA	2	3	1
CG9498	2	1	1
CG18598	1	2	1
CG6763	2	3	1
CG6762	6	24	3
CG6761	4	2	2
CG9497	2	3	2
CG6767	13	17	12
CG6766	3	4	1
CG6765	6	2	1
thoc6	3	3	1
W	3	2	1
Mgn95034	0	1	0
Mgn95037	0	1	0
Mgn95036	0	1	1
Mgn95031	0	1	0
mirr	4	5	2
Mgn95033	0	1	0
Mgn95032	0	1	0
Mgn095299	0	1	0
Mgn95039	0	1	1
Mgn95038	0	1	0
Mkp3	7	14	3
Mgn1442	1	11	0
CR42738	2	3	0
CG14219	8	1	1
CG12464	0	1	1
Obp56g	2	2	2
Obp56d	1	1	1
Obp56e	2	2	2
Obp56b	1	1	1
Obp56c	2	2	2
Obp56a	1	1	1
Hsp60	4	4	2
CG18223	2	2	2
Obp56h	2	2	2
Obp56i	3	3	3
CG10053	1	3	2
Ncc69	19	8	8
CR43281	0	2	1
CR43280	3	5	0
CR43283	3	12	2
CR43282	5	9	0
mRpS10	6	6	5
gus	10	16	9
p	2	1	1
CG10050	1	1	1
chr2R_20984061_20984366.0	0	1	0
CG17991	1	2	2
CG13847	4	2	2
PI4KIIIalpha	11	3	2
MtnB	1	1	1
CG13840	0	2	2
CG13843	1	1	1
CG13842	10	4	4
Mgn4218	1	1	1
Ugt58Fa	3	1	1
Mgn1626	2	5	0
CG17162	7	23	3
CG17163	3	12	2
tRNA:CR30200	0	1	0
fa2h	3	1	1
hth	18	43	8
MFS16	8	5	2
MFS17	16	88	10
MFS15	3	2	2
hts	20	143	11
Rich	2	1	1
Pfrx	15	27	4
CG42808	0	1	1
snoRNA:Psi28S-3327c	0	1	0
MFS18	3	3	1
Jon74E	3	4	4
CG7056	1	1	1
CG5038	0	4	1
CG32199	6	2	2
CG5033	4	2	2
CG5455	9	5	3
mir-137	0	1	0
CG5036	9	39	2
CG5037	3	1	1
ImpE2	1	2	2
mir-133	0	1	0
CG1239	3	2	2
Nop60B	13	11	7
CG1231	0	2	1
CG1233	3	3	3
CG1234	4	2	2
CG1236	1	2	1
CG5380	2	3	1
CG7963	0	1	1
CR42862	6	5	1
CG7967	3	1	1
CR42860	2	9	0
CR42861	2	3	0
CG7968	1	1	1
v	5	2	1
CR43613	1	1	0
CG43841	1	2	1
Cyp305a1	2	3	2
CR43862	2	2	1
CG9727	6	19	2
Mgn00165	1	1	0
Mgn00167	2	2	0
CG12519	2	2	2
Mgn00160	1	1	0
GRHRII	5	2	2
Mgn00162	2	2	0
CG16741	0	1	1
CR44087	1	1	0
CG16743	3	4	4
CG16742	4	2	1
Ime4	3	6	1
CR44080	1	1	1
CR44081	0	1	0
CG16749	2	1	1
CG6051	5	4	2
CR40642	0	2	0
CR43383	0	1	0
Fancl	9	26	2
CG15460	2	1	1
CG7058	14	2	2
Klp31E	14	6	2
CR43170	0	1	0
mir-13a	0	1	0
Pak3	3	9	3
fbp	7	5	3
CG6674	2	2	2
CR43384	0	1	0
noncoding_11987	1	1	0
CR43794	1	1	1
CG11911	0	1	1
CR43793	0	1	0
CG11913	2	2	2
CG5440	1	1	1
CG5447	4	3	2
CG5446	1	2	1
CG5445	12	13	1
fbl	12	15	10
Mes4	1	2	1
CG6673	3	2	2
CG8455	4	6	3
CR43790	1	2	1
B-H2	2	4	2
CG8451	11	4	2
tRNA:CR32785	0	1	0
Sik2	8	2	1
Mgn3958	0	2	1
pont	2	2	2
Ggt-1	3	1	1
CG32512	5	5	4
CR31845	1	1	1
Mgn3952	0	1	0
Sld5	2	1	1
CG17196	1	3	3
CG8237	0	1	1
l(2)35Bd	1	1	1
rdgC	18	20	4
l(2)35Bg	5	3	3
Gpb5	2	3	3
mir-79	0	1	0
CG13218	0	1	1
CG17193	7	7	2
CG5999	1	1	1
CG17192	1	1	1
caz	9	7	5
His2A:CG33829	0	1	1
CG17191	1	1	1
Edg78E	1	1	1
cas	5	3	3
His2A:CG33823	0	1	1
His2A:CG33820	0	1	1
CG17190	1	2	2
His2A:CG33826	0	1	1
cav	6	17	5
mbf1	5	11	2
ksh	2	3	2
snoRNA:kis-a	0	1	0
can	4	2	1
cac	50	342	34
cag	1	3	1
cad	3	3	2
tRNA:CR30260	0	1	0
snoRNA:nop5-x16-a	0	1	0
Pph13	2	1	1
ERR	3	4	2
CG33172	2	1	1
BG642312	3	3	1
snoRNA:Me18S-A425	0	1	0
spi	11	11	1
CG17199	0	1	1
spo	0	2	1
chic	11	48	1
CG17198	1	2	2
chif	4	6	2
CG31624	2	2	1
CG31627	1	1	1
CG31626	2	2	2
CG4318	0	1	1
ldbr	2	2	1
tRNA:M2:83F	0	1	0
Mgn00438	7	4	1
mir-10	0	1	0
snoRNA:Psi18S-1377e	0	1	0
Jon25Bii	0	1	1
Bx42	2	3	1
CG3473	1	2	1
CG3476	3	1	1
CG4849	11	4	3
CG43448	2	2	1
Mmp2	8	2	2
